Region,NodeBName,4G OSS ID,LAT,LONG,Radio Type 4G,Radio Type 3G
Nabeul,3G_El_mazraa,LNA021,"36,68333","10,424044",3x2217 3X2219B3,3xRRUS01B1 3xRRUS01B8
Nabeul,3G_Kelibia_LGD,LNA075,"36,84752607","11,090647",3x2217 2238 4480 3xA3B3 3xRR_12B3,4480 3x2219B1 3x2219B8
Nabeul,3G_Cite_Seltene,LNA061,"36,70140012","10,4173907",3x2217 2238 4480 3xRR_12B3,4480 3XR_12B8 3xRRUS01B1
Nabeul,3G_Slimen_ZI_Delice2,LNA137,"36,69865817","10,5179848",2217 2xR_11B20 3xRR_12B3,3x2219B1 3x2219B8
Nabeul,3G_Rocade,LHM030,"36,43580235","10,5897683",3xRRUW 3xRRUS12B3,3xRRUS12B8 3xRRUW
Nabeul,3G_ROUTE_NABEUL2,LNA038,"36,4721372","10,7046532",3xR_11B20 3xRR_12B3,3XR_12B8 3xRRUS01B1
Nabeul,3G_B_KHIAR_MENCHIA,LNA064,"36,47103379","10,7825189",3xR_11B20 3xRR_12B3,3XR_12B8 3xRRUS01B1
Nabeul,3G_Hotel_Medi_Sea,LNA458,"36,7155873","10,4186812",3x2217 3xRR_12B3,3XR_12B8 3xRRUS01B1
Nabeul,3G_SIDI_SALEM,LNA035,"36,7760253","11,0907278",3x2217 3xRR_12B3,3XR_12B8 3xRRUS01B1
Nabeul,3G_HOMT_BYDHA_GSM,LNA458,"36,77532","10,997731",3x2217 3xRR_12B3,3XR_12B8 3xRRUS01B1
Nabeul,3G_Rte_Sliman,LNA170,"36,68422944","10,5380477",3x2217 3X2219B3,3xRRUS01B1 3xRRUS01B8
Nabeul,3G_SIDI_ELMAHRSSI_COH,LNA413,"36,43679","10,69986",3x2217 3xRR_12B3,3XR_12B8 3xRRUS01B1
Nabeul,3G_Bir_chalouf_coh,LNA070,"36,454418","10,721443",3x2217 3xRR_12B3,3xRRUS01B1 3xRRUS12B
Nabeul,3G_AFRICA_JAD,LNA070,"36,50608","10,85808",3x2217 3X2219B3,3xRRUS01B1 3xRRUS01B8
Nabeul,3G_AFH_Mrezgua_Nabeul,LNA913,"36,437691","10,766899",2xR_12B8 10B1,2xR_12B8 10B1
Nabeul,3G_Fort_Kelibia,LNA085,"36,833749","11,115865",2xRRUS01B1 2xRRUS12B8,2xRRUS01B1 2xRRUS12B8
Nabeul,3G_HAOUARIA_CTT,LNA089,"37,04776939","11,0131813",3 x 2217 B20 + 3x RRUS 12 B3 + 3x A3,3xRRUS01B1+3xRRUS12B
